profile,pair_id,controller,n_samples,rmse_full,rmse_deadzone,rmse_transient,ss_error_last500ms,rms_pwm,max_abs_pwm,saturated_frac
P1,0,BASE,3900,14.121699125087153,17.468806631904116,25.083297457338684,0.0,174.15816713403703,255.0,0.0007692307692307692
P1,0,CASC,3901,11.287777301402157,12.985077883631622,19.764954298370302,0.0,171.9045522472048,251.0,0.0
P1,1,BASE,3901,14.032582861822128,17.332796104484103,24.863042940275836,0.0,172.84881736119368,255.0,0.0005126890540886952
P1,1,CASC,3901,11.246035426639308,12.857016785719471,19.630796802048902,0.0,171.74152078501086,254.0,0.0
P1,2,BASE,3901,14.012548272895646,17.29058008116196,24.836901415367148,0.0,173.06860078979847,255.0,0.0005126890540886952
P1,2,CASC,3900,11.197966961771368,12.882061381183194,19.54930293514324,0.0,171.6709038560968,249.0,0.0
P1,3,BASE,3901,13.877938966262048,17.247219558077504,24.61679267458158,0.0,172.77735561015524,254.0,0.0
P1,3,CASC,3901,11.040117038999705,12.658728704836669,19.30256313506922,0.0,171.0726717231894,247.0,0.0
P1,4,BASE,3900,13.916686406557472,17.249636196301704,24.70162415038061,0.0,173.1730792721992,255.0,0.0002564102564102564
P1,4,CASC,3901,11.123407437805596,12.75796701370181,19.45432527742867,0.0,171.4503185782381,250.0,0.0
P1,5,BASE,3900,13.835817737363357,17.000207700411863,24.513346888311002,0.0,171.44218058007567,255.0,0.0005128205128205128
P1,5,CASC,3901,11.259324639406886,13.011042992127093,19.65140899104523,0.0,169.85038276375354,247.0,0.0
P1,6,BASE,3900,14.202291084584981,17.489615169062603,25.19560636301496,0.0,173.27969165041105,255.0,0.0007692307692307692
P1,6,CASC,3900,11.129978061120589,12.689746014194371,19.445515594861455,0.0,171.96258537609503,249.0,0.0
P1,7,BASE,3901,14.111566300756664,17.456044518811858,25.033654665603,0.0,173.0725806557092,255.0,0.0005126890540886952
P1,7,CASC,3901,11.163460172124575,12.82006782095325,19.50318920715276,0.0,171.58623544983794,248.0,0.0
P2,0,BASE,5300,5.164319336325666,6.7736890353103005,5.549361342789742,3.354901960784314,167.71922179192987,221.0,0.0
P2,0,CASC,5301,6.232199809775688,8.536747556892067,6.775278497599728,3.357843137254902,169.13477122014675,214.0,0.0
P2,1,BASE,5301,5.242384859875609,6.913332104006539,5.64363446581275,3.6029411764705883,169.03150836633947,225.0,0.0
P2,1,CASC,5300,6.430463407990861,8.813076900002487,6.993347339187272,3.011764705882353,169.35074967384804,216.0,0.0
P2,2,BASE,5300,5.156958709556968,6.746995935195757,5.535383246973531,0.4137254901960784,169.6145975383994,224.0,0.0
P2,2,CASC,5300,6.267777211245732,8.529801406703315,6.798163750388407,7.080392156862746,169.75262745625437,217.0,0.0
P2,3,BASE,5301,5.23339627565161,6.872259691316027,5.622476242461541,3.5539215686274503,167.9475084405775,222.0,0.0
P2,3,CASC,5300,6.506146671374228,8.964060506957276,7.0834329853873115,3.3058823529411763,167.50701252569402,214.0,0.0
P2,4,BASE,5300,5.228482280955359,6.811559707220423,5.608289135716449,0.46274509803921576,166.58353731884907,224.0,0.0
P2,4,CASC,5300,6.1460599159596585,8.396593556956482,6.678409729695452,5.4625490196078434,167.20398625292378,214.0,0.0
P2,5,BASE,5301,5.385163218512578,7.110809837867134,5.79873149241347,0.3186274509803923,168.542293273141,223.0,0.0
P2,5,CASC,5300,6.158068713729888,8.401091750764648,6.683966054025065,6.8843137254901965,169.6619669191299,215.0,0.0
P2,6,BASE,5301,5.20385997776418,6.854753433979743,5.608993899703149,3.357843137254902,169.07340383335136,225.0,0.0
