profile,pair_id,rmse_base,rmse_casc,difference,rms_pwm_base,rms_pwm_casc
P1,0,14.1217,11.2878,2.8339,174.158,171.905
P1,1,14.0326,11.246,2.7865,172.849,171.742
P1,2,14.0125,11.198,2.8146,173.069,171.671
P1,3,13.8779,11.0401,2.8378,172.777,171.073
P1,4,13.9167,11.1234,2.7933,173.173,171.45
P1,5,13.8358,11.2593,2.5765,171.442,169.85
P1,6,14.2023,11.13,3.0723,173.28,171.963
P1,7,14.1116,11.1635,2.9481,173.073,171.586
P2,0,5.1643,6.2322,-1.0679,167.719,169.135
P2,1,5.2424,6.4305,-1.1881,169.032,169.351
P2,2,5.157,6.2678,-1.1108,169.615,169.753
P2,3,5.2334,6.5061,-1.2728,167.948,167.507
P2,4,5.2285,6.1461,-0.9176,166.584,167.204
P2,5,5.3852,6.1581,-0.7729,168.542,169.662
P2,6,5.2039,6.3475,-1.1437,169.073,169.365
P2,7,5.2274,6.5091,-1.2817,167.37,167.482
P3,0,18.1602,13.0082,5.152,165.394,172.188
P3,1,18.3375,13.4117,4.9258,164.906,170.653
P3,2,18.4469,13.0672,5.3797,165.892,172.128
P3,3,18.3439,12.6514,5.6925,165.284,171.663
P3,4,18.2524,13.4074,4.845,165.596,171.13
P3,5,18.4689,13.3112,5.1577,165.896,171.778
P3,6,18.4119,13.2652,5.1467,165.992,172.152
P3,7,18.3342,12.8973,5.4369,165.715,171.725
P4,0,19.3036,17.8951,1.4086,208.802,210.679
P4,1,19.3335,18.2181,1.1153,208.894,211.0
P4,2,19.1631,18.5497,0.6134,208.465,210.691
P4,3,19.3026,18.5079,0.7947,208.615,210.947
P4,4,19.4952,18.4696,1.0255,210.102,211.478
P4,5,19.2968,18.4419,0.8549,209.141,211.101
P4,6,19.2846,18.3004,0.9843,211.229,213.315
P4,7,19.3209,17.8622,1.4587,210.481,212.037
