direction,pwm,run,K_ss,Td_ms,tau_ms,fit_ok
fwd,160,1,48.7999,40,140,True
fwd,160,2,53.52459999999999,10,180,True
fwd,160,3,54.75237623762376,10,180,True
fwd,200,1,122.37560000000002,10,100,True
fwd,200,2,124.60455445544554,10,100,True
fwd,200,3,124.676,10,90,True
fwd,240,1,205.4754,10,180,True
fwd,240,2,211.2509,10,170,True
fwd,240,3,214.8007,10,170,True
rev,160,1,-71.26227722772278,30,180,True
rev,160,2,-67.72277227722772,10,190,True
rev,160,3,-70.2746,10,140,True
rev,200,1,-131.53415841584157,10,90,True
rev,200,2,-131.3502,10,90,True
rev,200,3,-132.62386138613863,10,90,True
rev,240,1,-219.8748,10,160,True
rev,240,2,-223.7252,10,180,True
rev,240,3,-224.60010000000003,10,170,True
