region,direction,cond,run,rmse_A,fit_A,rmse_tr_A,rmse_B,fit_B,rmse_tr_B,rmse_C,fit_C,rmse_tr_C
accel,fwd,PWM=160,1,74.05112802290901,-926.3947032800244,63.91110714147329,4.142656725479501,42.58020054435768,5.860388285175248,4.070090596830911,43.58601223245792,5.614777631476573
accel,fwd,PWM=160,2,69.81908377551267,-870.8936867678163,58.31318549156608,2.4790720300330475,65.52639689829434,3.0324726952139525,2.366423964986611,67.09286396239744,2.5477934982669384
accel,fwd,PWM=160,3,68.66008981093483,-827.6342358345444,58.796569826479086,3.32309535379877,55.103218949831486,3.370139632236857,3.2213019727456684,56.47850152674374,2.826030578327138
accel,fwd,PWM=200,1,32.99091092114496,-149.69650954963254,16.301997937794585,7.426172786466468,43.793930742764964,22.078212438821204,3.0489578088241744,76.92351919450819,3.5426617266878115
accel,fwd,PWM=200,2,30.80666834465574,-129.85695404073948,16.811568189639694,8.236955676405156,38.541827335395176,24.809612319616555,2.724226040536365,79.67380656711678,1.7858847657801378
accel,fwd,PWM=200,3,31.05857852602349,-137.6931865579484,18.964063879098735,8.573387316889695,34.38734650268874,25.949881476298117,2.7458547926823296,78.98580661213407,3.004726993889817
accel,fwd,PWM=240,1,19.3828755299272,31.143041659408176,28.157176025715195,6.5695126367243954,76.6620459773121,8.254661633901787,6.1823433640758045,78.03745069661494,5.378670954678755
accel,fwd,PWM=240,2,24.822327382032817,13.303784087627413,33.140685418333916,6.342090915651669,77.84916479035637,12.695812889951478,4.4819777208112574,84.34592767158668,5.565721493440777
accel,fwd,PWM=240,3,26.963491935580787,7.980183592739909,34.14013197464515,7.264203429010172,75.2090468297089,13.117778420523353,5.599471400899876,80.89037089411352,6.011500305319377
accel,rev,PWM=160,1,52.262686601267234,-423.88524148678306,41.448703552367604,4.172089971363091,58.1786451426104,5.2772665973555295,4.006541772741322,59.838113180952,4.554117756004472
accel,rev,PWM=160,2,55.6033381728806,-499.0457665164345,46.16804691482785,3.3391130780818035,64.02587292285696,4.644153988406853,3.196296725192867,65.5645131268216,4.088100383964722
accel,rev,PWM=160,3,53.870985358561676,-487.4737238023015,47.42718051491404,3.7036837144574344,59.610598376173044,6.453854229144077,3.399830688462167,62.92417557328417,5.514802474701452
accel,rev,PWM=200,1,24.81213121830611,-87.25493020440078,26.147729545286065,9.707048265002898,26.741776860635248,32.133920464457056,2.438615748529868,81.59598553753388,2.3503104821279526
accel,rev,PWM=200,2,25.0966533840547,-88.86236232694608,26.051070707531323,9.717722901681668,26.870245384337142,32.038316701776516,2.653509150423386,80.03128150450787,2.440852335935091
accel,rev,PWM=200,3,24.929957691144327,-83.62855843696764,25.58587890398042,9.846956046620416,27.469498094038258,31.532820020877484,3.4863268863316446,74.3204866888109,2.2539198529929525
accel,rev,PWM=240,1,33.907511889344754,-11.509959287691117,42.34619502307583,7.977216114263832,73.76572344695671,12.839628762105786,6.8992363919916535,77.31082210638685,7.2483775245863935
accel,rev,PWM=240,2,36.86307978877602,-17.89755017974204,43.61143438178705,7.601089604317007,75.68977285184573,13.850699405749648,6.224891392077413,80.09120644650133,7.975752137106077
accel,rev,PWM=240,3,38.11639334539778,-22.107455983354463,45.934523116618614,8.430064093401265,72.99393804408464,15.882974745814233,6.660956163692541,78.66134908948972,8.62644552109934
decel,fwd,240→0,1,7.892358362224421,77.4248279019474,18.907081894770553,6.358852665993326,81.81124238249863,15.18790974638202,4.7185140280621445,86.50324005300794,11.228465216516808
decel,fwd,240→0,2,8.034606040075568,77.09043011810917,19.2490084255434,6.485951231458926,81.5062055007433,15.494317477101308,4.865127774316832,86.12775982119078,11.583170220290839
decel,fwd,240→0,3,8.088263644866466,76.98439749314228,19.35857014095664,6.59421515889737,81.23579527007578,15.739582043820254,4.820378479844946,86.28334585815125,11.463524422443701
decel,fwd,240→160,1,47.54209233933018,-101.53850374462338,38.99988424973999,6.904914370175002,70.7289679066442,11.782740939098227,3.787440787088072,83.9444350954739,4.299456175243178
decel,fwd,240→160,2,48.96460526135525,-102.35597959507037,39.22372791236599,6.870044594085178,71.6081729592719,11.85952940744412,3.781335623870545,84.37287770907515,4.637251225754616
decel,fwd,240→160,3,49.35928436424819,-104.14802314722968,39.32132934246025,6.824793898507322,71.77292578867466,11.616416156595621,3.894787088780098,83.89131659838802,4.545969873937806
decel,rev,240→0,1,11.698443268283958,70.08867389198528,26.85525361111456,8.66493112113839,77.84495128761905,19.892195921747412,5.329947754739269,86.37204953047797,12.2205436443036
decel,rev,240→0,2,11.793878531288742,69.9474666125609,27.047440933333984,8.74668429091978,77.71216474844154,20.05993517072842,5.492155213866099,86.00518247700886,12.581006917625018
decel,rev,240→0,3,11.907348992906135,69.68027212380001,27.30665507728538,8.999718607973202,77.0839823945125,20.63902464440252,5.3097144098989615,86.47985407126436,12.159116097239238
decel,rev,240→160,1,37.93446614470017,-51.00756518544192,30.84870704153337,7.3405737448374895,70.77902285368113,12.924986815732515,2.6138915119085158,89.59475556169532,3.757106974051446
decel,rev,240→160,2,36.88758683708526,-45.815245968711736,29.917663842312383,7.8508185572437545,68.96600897109049,13.931060592192347,1.942917006539066,92.31972201227157,2.4503644562417706
decel,rev,240→160,3,36.162270941964984,-43.89620527593645,28.942900659119836,8.260781747798754,67.12885791855727,14.629993347500895,2.1412398496301197,91.47962003155523,2.7074753206445257
