session,region,direction,cond,pwm,run,rmse_A,fit_A,rmse_tr_A,rmse_B,fit_B,rmse_tr_B,rmse_C,fit_C,rmse_tr_C
P2.1,accel,fwd,PWM=160,160,1,74.12517358421961,-927.421020825209,65.57375573442242,3.970593092952532,44.96510953586104,5.267828434448864,4.070090596830911,43.58601223245792,5.614777631476573
P2.1,accel,fwd,PWM=160,160,2,69.87713375410404,-871.7009210465212,59.94256793030199,2.4876541515528148,65.40705520613741,3.0655253377146714,2.366423964986611,67.09286396239744,2.5477934982669384
P2.1,accel,fwd,PWM=160,160,3,68.71896172538783,-828.4296266289068,60.389826487942095,3.3289845086397576,55.02365334387797,3.374491891649497,3.2213019727456684,56.47850152674374,2.826030578327138
P2.1,accel,fwd,PWM=200,200,1,32.678097352600695,-147.3289345411109,13.696374070659056,7.674750811619382,41.91253179079965,22.76653753049566,3.0489578088241744,76.92351919450819,3.5426617266878115
P2.1,accel,fwd,PWM=200,200,2,30.43800014511414,-127.10622006164579,13.186928916043762,8.574614108977512,36.022465684568814,25.687579169241257,2.724226040536365,79.67380656711678,1.7858847657801378
P2.1,accel,fwd,PWM=200,200,3,30.671887235576264,-134.7338146419545,15.493369709491757,8.877996014951878,32.056157648214864,26.685998451559197,2.7458547926823296,78.98580661213407,3.004726993889817
P2.1,accel,fwd,PWM=240,240,1,18.762544169539368,33.346746190948764,23.922677698284605,7.080214921025722,74.84779473990999,10.916364679531085,6.1823433640758045,78.03745069661494,5.378670954678755
P2.1,accel,fwd,PWM=240,240,2,24.2748995210475,15.215769345979302,28.885435635123685,7.260035959648916,74.64308501768839,15.508085870749298,4.4819777208112574,84.34592767158668,5.565721493440777
P2.1,accel,fwd,PWM=240,240,3,26.483374065111303,9.618708691788624,29.991392951402958,8.170016660123304,72.11772737355545,16.080668581263428,5.599471400899876,80.89037089411352,6.011500305319377
P2.1,accel,rev,PWM=160,160,1,52.29895249800033,-424.24877366056313,43.114780145032235,4.254101274976012,57.356557446933856,5.5483593619082106,4.006541772741322,59.838113180952,4.554117756004472
P2.1,accel,rev,PWM=160,160,2,55.65744358094473,-499.6286742466446,47.85986772131734,3.098242397399623,66.62090707515841,3.700847032777029,3.196296725192867,65.5645131268216,4.088100383964722
P2.1,accel,rev,PWM=160,160,3,53.91284146779819,-487.93017293152,48.93601802973949,3.470465922330883,62.15388441197898,5.744870458191163,3.399830688462167,62.92417557328417,5.514802474701452
P2.1,accel,rev,PWM=200,200,1,24.195417369852976,-82.60064607088076,20.711912272974047,10.00376137723242,24.502509599293454,32.72584794145117,2.438615748529868,81.59598553753388,2.3503104821279526
P2.1,accel,rev,PWM=200,200,2,24.487811125578446,-84.2805806263885,20.631553776892407,10.010674353171614,24.66566845016106,32.63420005004845,2.653509150423386,80.03128150450787,2.440852335935091
P2.1,accel,rev,PWM=200,200,3,24.32974461684513,-79.20752158828763,20.186801816814345,10.135242588172456,25.346043144863415,32.12762807375925,3.4863268863316446,74.3204866888109,2.2539198529929525
P2.1,accel,rev,PWM=240,240,1,33.45129264736462,-10.009613604248258,38.16133400689604,8.738414629137282,71.26240749501089,15.880467339031677,6.8992363919916535,77.31082210638685,7.2483775245863935
P2.1,accel,rev,PWM=240,240,2,36.470357715162805,-16.641524621220928,39.537297530311506,8.540140805695323,72.68644711861288,17.087119595627755,6.224891392077413,80.09120644650133,7.975752137106077
P2.1,accel,rev,PWM=240,240,3,37.70340437031442,-20.784428575183078,41.83857474524292,9.42215254944771,69.81574129339675,19.16590590516186,6.660956163692541,78.66134908948972,8.62644552109934
gap-fill,accel,fwd,PWM=180,180,1,51.74904310639473,-408.94295990076637,27.49716583531143,6.708827364731151,34.01983396196162,15.419091511182142,4.954131611626444,51.27696562475093,5.744397460166261
gap-fill,accel,fwd,PWM=180,180,2,48.06521676641992,-366.92083583805993,24.488941075436042,6.714816381342047,34.77013341036776,17.02295109793119,3.9090122748787555,62.026608814489435,3.75030742669816
gap-fill,accel,fwd,PWM=180,180,3,47.68155994264543,-373.88614908406385,25.739187416636184,6.717575738234529,33.23695572037359,16.699231866589233,3.9405850316529016,60.83625057497034,3.1736939311744212
gap-fill,accel,fwd,PWM=180,180,4,49.08243047886505,-388.6316475320926,24.99521924904981,6.502215520626381,35.268317981512496,17.30963255616443,3.6364189324798963,63.798260258125005,3.9300031218330034
gap-fill,accel,fwd,PWM=180,180,5,48.06780652266154,-379.5237100338885,25.671738636465715,6.219843645750002,37.95093397002377,16.15666224996708,3.3513771046729315,66.56671274987875,2.973443980108879
gap-fill,accel,fwd,PWM=220,220,1,11.759886116111513,41.2164081964955,30.10904019770419,11.214622728918028,43.94199074565511,29.57729497329475,5.556970362090237,72.22263258300184,5.703899487399477
gap-fill,accel,fwd,PWM=220,220,2,11.754111188608757,42.100821387970285,29.808997166997166,11.109176167793628,45.27768498608877,29.33417339969608,5.181863576797111,74.47483353169991,4.159853672498734
gap-fill,accel,fwd,PWM=220,220,3,11.682969506763019,42.747035753261386,29.552238914331316,11.000390942114722,46.09204543892195,29.10437234349378,5.042169763839605,75.29060012970288,4.2981650990484
gap-fill,accel,fwd,PWM=220,220,4,11.122030587292045,45.659876779212325,28.384464882784638,10.610773025351483,48.15778385610465,27.939608367792317,5.101490006404416,75.07509142490784,4.717467930456574
gap-fill,accel,fwd,PWM=220,220,5,11.261426330514384,44.536248436721614,28.92986590773132,10.67291226844766,47.434744308556134,28.42665799689573,5.007990756705999,75.33509992348822,4.584797124596296
gap-fill,accel,rev,PWM=180,180,1,43.38629050489717,-326.0054593957764,19.295116281411037,7.51099827138858,26.25029169611515,21.299647920061943,3.5670893447886938,64.9751219256469,3.7521260621704826
gap-fill,accel,rev,PWM=180,180,2,44.183147985677074,-332.880948155772,19.367243095620747,7.195788440831433,29.499823688316095,20.37866452101508,3.351846681979764,67.16054342170152,3.9690961082137273
gap-fill,accel,rev,PWM=180,180,3,45.078841513729536,-359.18968799951426,20.1874001949999,7.0054236786845,28.640173409518344,20.096551093542022,3.4555292905402784,64.80070553026293,3.8791730994628204
