type,direction,condition,n_trials,loocv_rmse_mean,loocv_rmse_std,in_sample_floor,excess,phase
accel,fwd,PWM=160,3,4.589207961334224,2.4228350197762096,2.614922146084851,1.974285815249373,Phase 2.2 (orig)
accel,fwd,PWM=200,3,3.2992927088016017,1.238621179394594,2.4775016944133204,0.8217910143882814,Phase 2.2 (orig)
accel,fwd,PWM=240,3,6.440092711605712,0.5177537541686984,4.688880514236544,1.751212197369168,Phase 2.2 (orig)
accel,rev,PWM=160,3,5.160976690347713,0.3557213138084364,4.029168305173038,1.1318083851746747,Phase 2.2 (orig)
accel,rev,PWM=200,3,2.363267268120675,0.0898543846280264,2.6580324380397338,-0.2947651699190583,Phase 2.2 (orig)
accel,rev,PWM=240,3,8.12463098542955,0.8626323023239222,7.172695185211289,0.9519358002182604,Phase 2.2 (orig)
decel,fwd,240→0,3,5.171395441637016,0.066179299147084,5.159631860222574,0.0117635814144421,Phase 2.2 (orig)
decel,fwd,240→160,3,4.4634220682507,0.0624247365078665,4.316481753848344,0.1469403144023555,Phase 2.2 (orig)
decel,rev,240→0,3,5.4120580453556215,0.3697592155361195,5.389409265873436,0.0226487794821856,Phase 2.2 (orig)
decel,rev,240→160,3,2.96086966473652,0.6550470255495981,2.734705079210175,0.2261645855263454,Phase 2.2 (orig)
accel,fwd,PWM=180,5,3.977147159365663,1.223624669472001,3.6954333283551906,0.2817138310104723,gap-fill (new)
accel,fwd,PWM=220,5,4.752016937572035,0.6313826438798658,4.965710056873551,-0.21369311930151547,gap-fill (new)
accel,rev,PWM=180,5,3.435781754276833,0.6435247359508279,3.344904710808269,0.09087704346856418,gap-fill (new)
accel,rev,PWM=220,5,4.725103614214694,0.6592453382964536,5.099053438840167,-0.3739498246254733,gap-fill (new)
decel,fwd,240→100,3,4.249593050498556,0.6003936281476865,4.076130419268366,0.17346263123019057,gap-fill (new)
decel,fwd,240→180,3,4.575481484469269,0.08115046402792189,4.47823064965701,0.09725083481225916,gap-fill (new)
decel,fwd,240→220,3,6.285680797527611,0.5458706281273873,5.684561929339371,0.60111886818824,gap-fill (new)
decel,rev,240→100,3,5.28970230256654,0.8098206314837278,4.230025085914719,1.0596772166518207,gap-fill (new)
decel,rev,240→180,3,5.013959940539931,0.1469496067839371,4.501989295545541,0.5119706449943902,gap-fill (new)
decel,rev,240→220,3,6.151467135965849,0.23864956235049245,5.887084854388868,0.26438228157698074,gap-fill (new)
