t_ms,pwm_cmd,dir,enc_count,rpm
0,240,F,0,0.00
10,240,F,3,7.50
20,240,F,10,17.50
30,240,F,21,27.49
40,240,F,37,40.01
50,240,F,56,47.50
60,240,F,78,55.00
70,240,F,105,67.49
80,240,F,134,72.49
90,240,F,168,85.02
100,240,F,204,89.96
110,240,F,245,102.44
120,240,F,288,107.61
130,240,F,335,117.45
140,240,F,385,125.00
150,240,F,438,132.51
160,240,F,494,139.99
170,240,F,554,150.03
180,240,F,614,150.00
190,240,F,676,154.97
200,240,F,740,160.00
210,240,F,805,162.53
220,240,F,874,172.52
230,240,F,944,175.02
240,240,F,1016,179.98
250,240,F,1091,187.52
260,240,F,1168,192.44
270,240,F,1246,195.04
280,240,F,1322,190.00
290,240,F,1400,194.96
300,240,F,1481,202.52
310,240,F,1566,212.54
320,240,F,1645,197.42
330,240,F,1720,187.54
340,240,F,1803,207.52
350,240,F,1886,207.52
360,240,F,1970,209.96
370,240,F,2054,209.96
380,240,F,2138,210.06
390,240,F,2222,209.94
400,240,F,2308,215.02
410,240,F,2395,217.54
420,240,F,2481,215.02
430,240,F,2566,212.48
440,240,F,2650,209.98
450,240,F,2734,210.04
460,240,F,2817,207.44
470,240,F,2902,212.50
480,240,F,2989,217.52
490,240,F,3072,207.48
500,240,F,3155,207.48
510,240,F,3240,212.50
520,240,F,3327,217.57
530,240,F,3413,214.98
540,240,F,3502,222.50
550,240,F,3591,222.52
560,240,F,3680,222.50
570,240,F,3767,217.48
580,240,F,3856,222.50
590,240,F,3951,237.55
600,240,F,4036,212.50
610,240,F,4118,204.94
620,240,F,4206,220.00
630,240,F,4296,225.07
640,240,F,4385,222.48
650,240,F,4474,222.34
660,240,F,4561,217.63
670,240,F,4650,222.46
680,240,F,4740,225.07
690,240,F,4830,224.96
700,240,F,4918,219.91
710,240,F,5005,217.50
720,240,F,5092,217.63
730,240,F,5177,212.48
740,240,F,5264,217.50
750,240,F,5352,219.96
760,240,F,5438,215.00
770,240,F,5522,210.08
780,240,F,5608,215.00
790,240,F,5695,217.48
800,240,F,5783,219.96
810,240,F,5872,222.50
820,240,F,5963,227.52
830,240,F,6053,225.02
840,240,F,6142,222.48
850,240,F,6230,219.98
860,240,F,6326,240.05
870,240,F,6413,217.46
880,240,F,6496,207.54
890,240,F,6585,222.46
900,240,F,6674,222.48
910,240,F,6764,225.09
920,240,F,6853,222.43
930,240,F,6942,222.50
940,240,F,7030,220.04
950,240,F,7121,227.43
960,240,F,7211,225.02
970,240,F,7300,222.48
980,240,F,7388,219.91
990,240,F,7475,217.61
1000,240,F,7561,215.04
1010,240,F,7648,217.52
1020,240,F,7736,219.96
1030,240,F,7824,219.89
1040,240,F,7908,210.08
1050,240,F,7994,214.98
1060,240,F,8081,217.54
1070,240,F,8169,219.96
1080,240,F,8259,225.05
1090,240,F,8350,227.52
1100,240,F,8441,227.48
1110,240,F,8529,219.98
1120,240,F,8618,222.52
1130,240,F,8714,239.98
1140,240,F,8802,220.04
1150,240,F,8886,209.94
1160,240,F,8974,220.02
1170,240,F,9064,225.02
1180,240,F,9154,225.05
1190,240,F,9244,224.80
1200,240,F,9332,220.20
1210,240,F,9421,222.43
1220,240,F,9511,224.98
1230,240,F,9602,227.55
1240,240,F,9692,224.96
1250,240,F,9779,217.54
1260,240,F,9867,220.02
1270,240,F,9954,217.43
1280,240,F,10040,215.00
1290,240,F,10129,222.39
1300,240,F,10216,217.65
1310,240,F,10302,215.02
1320,240,F,10387,212.52
1330,240,F,10475,219.96
1340,240,F,10563,219.98
1350,240,F,10653,225.07
1360,240,F,10744,227.50
1370,240,F,10835,227.48
1380,240,F,10923,219.93
1390,240,F,11012,222.57
1400,240,F,11107,237.52
1410,240,F,11198,227.43
1420,240,F,11280,205.00
1430,240,F,11369,222.54
1440,240,F,11459,225.00
1450,240,F,11549,225.02
1460,240,F,11639,224.93
1470,240,F,11727,220.02
1480,240,F,11816,222.52
1490,240,F,11906,225.02
1500,240,F,11998,230.00
1510,240,F,12087,222.48
1520,240,F,12175,219.98
1530,240,F,12263,220.00
1540,240,F,12350,217.48
1550,240,F,12436,215.06
1560,240,F,12525,222.46
1570,240,F,12612,217.52
1580,240,F,12698,214.96
1590,240,F,12783,212.52
1600,240,F,12871,220.00
1610,240,F,12959,219.96
1620,240,F,13049,225.09
1630,240,F,13140,227.50
1640,240,F,13231,227.48
1650,240,F,13320,222.37
1660,240,F,13408,220.09
1670,240,F,13503,237.50
1680,240,F,13594,227.55
1690,240,F,13678,209.96
1700,240,F,13766,220.02
1710,240,F,13856,225.05
1720,240,F,13945,222.46
1730,240,F,14035,225.02
1740,240,F,14124,222.50
1750,240,F,14213,222.48
1760,240,F,14303,224.98
1770,240,F,14395,230.02
1780,240,F,14484,222.48
1790,240,F,14573,222.54
1800,240,F,14660,217.43
1810,240,F,14747,217.50
1820,240,F,14833,215.06
1830,240,F,14922,222.52
1840,240,F,15009,217.48
1850,240,F,15095,215.02
1860,240,F,15181,214.94
1870,240,F,15269,220.04
1880,240,F,15356,217.46
1890,240,F,15446,225.02
1900,240,F,15537,227.55
1910,240,F,15628,227.43
1920,240,F,15717,222.54
1930,240,F,15805,219.98
1940,240,F,15900,237.55
1950,240,F,15991,227.50
1960,240,F,16076,212.50
1970,240,F,16162,214.91
1980,240,F,16252,225.09
1990,240,F,16342,224.98
2000,240,F,16432,225.00
2010,240,F,16520,219.93
2020,240,F,16609,222.50
2030,240,F,16700,227.43
2040,240,F,16791,227.59
2050,240,F,16880,222.54
2060,240,F,16969,222.39
2070,240,F,17056,217.57
2080,240,F,17143,217.57
2090,240,F,17229,214.96
2100,240,F,17317,220.00
2110,240,F,17405,220.04
2120,240,F,17490,212.50
2130,240,F,17576,214.94
2140,240,F,17664,220.07
2150,240,F,17751,217.48
2160,240,F,17841,224.98
2170,240,F,17932,227.55
2180,240,F,18023,227.36
2190,240,F,18111,220.07
2200,240,F,18200,222.50
2210,240,F,18294,235.00
2220,240,F,18386,230.07
2230,240,F,18468,204.98
2240,240,F,18557,222.46
2250,240,F,18647,224.98
2260,240,F,18736,222.54
2270,240,F,18827,227.48
2280,240,F,18915,220.07
2290,240,F,19004,222.41
2300,240,F,19094,225.00
2310,240,F,19186,230.09
2320,240,F,19275,222.50
2330,240,F,19364,222.41
2340,240,F,19451,217.54
2350,240,F,19538,217.52
2360,240,F,19624,214.94
2370,240,F,19712,220.04
2380,240,F,19800,219.98
2390,240,F,19886,215.04
2400,240,F,19972,215.02
2410,240,F,20060,219.98
2420,240,F,20147,217.46
2430,240,F,20236,222.54
2440,240,F,20327,227.50
2450,240,F,20418,227.48
2460,240,F,20507,222.54
2470,240,F,20596,222.50
2480,240,F,20690,234.98
2490,240,F,20782,230.02
2500,240,F,20864,205.00
2510,240,F,20953,222.48
2520,240,F,21043,224.96
2530,240,F,21132,222.57
2540,240,F,21223,227.32
2550,240,F,21311,220.11
2560,240,F,21400,222.52
2570,240,F,21490,225.02
2580,240,F,21582,230.00
2590,240,F,21671,222.52
2600,240,F,21760,222.48
2610,240,F,21847,217.48
2620,240,F,21934,217.48
2630,240,F,22020,214.98
2640,240,F,22109,222.59
2650,240,F,22197,219.93
2660,240,F,22283,215.00
2670,240,F,22368,212.56
2680,240,F,22456,219.98
2690,240,F,22544,219.96
