t_ms,pwm_cmd,dir,enc_count,rpm
0,240,R,0,0.00
10,240,R,-3,-7.50
20,240,R,-11,-20.00
30,240,R,-24,-32.51
40,240,R,-40,-40.00
50,240,R,-60,-49.99
60,240,R,-84,-60.00
70,240,R,-112,-69.98
80,240,R,-144,-79.99
90,240,R,-178,-85.03
100,240,R,-217,-97.50
110,240,R,-259,-105.00
120,240,R,-306,-117.52
130,240,R,-357,-127.39
140,240,R,-410,-132.59
150,240,R,-466,-140.00
160,240,R,-524,-145.00
170,240,R,-585,-152.50
180,240,R,-648,-157.47
190,240,R,-714,-165.02
200,240,R,-780,-164.98
210,240,R,-848,-170.07
220,240,R,-920,-180.00
230,240,R,-994,-184.98
240,240,R,-1069,-187.50
250,240,R,-1147,-194.96
260,240,R,-1228,-202.54
270,240,R,-1308,-200.02
280,240,R,-1388,-199.94
290,240,R,-1469,-202.56
300,240,R,-1553,-209.96
310,240,R,-1637,-209.96
320,240,R,-1719,-205.08
330,240,R,-1803,-209.96
340,240,R,-1888,-212.54
350,240,R,-1973,-212.46
360,240,R,-2058,-212.52
370,240,R,-2145,-217.43
380,240,R,-2232,-217.57
390,240,R,-2321,-222.48
400,240,R,-2412,-227.45
410,240,R,-2502,-225.00
420,240,R,-2590,-219.91
430,240,R,-2678,-220.11
440,240,R,-2768,-225.07
450,240,R,-2857,-222.50
460,240,R,-2944,-217.46
470,240,R,-3033,-222.46
480,240,R,-3121,-220.04
490,240,R,-3208,-217.54
500,240,R,-3296,-220.00
510,240,R,-3386,-224.96
520,240,R,-3477,-227.50
530,240,R,-3570,-232.55
540,240,R,-3662,-229.95
550,240,R,-3754,-229.98
560,240,R,-3844,-225.05
570,240,R,-3937,-232.48
580,240,R,-4029,-229.84
590,240,R,-4119,-225.20
600,240,R,-4209,-224.91
610,240,R,-4300,-227.50
620,240,R,-4391,-227.57
630,240,R,-4481,-224.96
640,240,R,-4572,-227.55
650,240,R,-4664,-229.95
660,240,R,-4757,-232.57
670,240,R,-4851,-234.98
680,240,R,-4944,-232.48
690,240,R,-5035,-227.52
700,240,R,-5126,-227.50
710,240,R,-5218,-230.00
720,240,R,-5307,-222.43
730,240,R,-5397,-225.09
740,240,R,-5488,-227.48
750,240,R,-5576,-219.96
760,240,R,-5664,-220.02
770,240,R,-5755,-227.34
780,240,R,-5847,-230.12
790,240,R,-5940,-232.52
800,240,R,-6034,-234.98
810,240,R,-6127,-232.55
820,240,R,-6219,-229.98
830,240,R,-6310,-227.55
840,240,R,-6402,-230.02
850,240,R,-6496,-235.00
860,240,R,-6584,-219.96
870,240,R,-6675,-227.55
880,240,R,-6766,-227.45
890,240,R,-6856,-224.98
900,240,R,-6948,-229.95
910,240,R,-7039,-227.55
920,240,R,-7132,-232.52
930,240,R,-7226,-235.05
940,240,R,-7318,-229.93
950,240,R,-7409,-227.52
960,240,R,-7501,-229.95
970,240,R,-7592,-227.50
980,240,R,-7681,-222.52
990,240,R,-7770,-222.52
1000,240,R,-7860,-225.05
1010,240,R,-7949,-222.43
1020,240,R,-8036,-217.50
1030,240,R,-8126,-225.05
1040,240,R,-8217,-227.48
1050,240,R,-8309,-230.00
1060,240,R,-8402,-232.48
1070,240,R,-8495,-232.52
1080,240,R,-8586,-227.55
1090,240,R,-8677,-227.48
1100,240,R,-8768,-227.43
1110,240,R,-8861,-232.57
1120,240,R,-8951,-224.98
1130,240,R,-9040,-222.48
1140,240,R,-9131,-227.57
