t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,160,F,0,0.00
510,160,F,1,2.50
520,160,F,3,5.00
530,160,F,7,10.00
540,160,F,13,15.01
550,160,F,20,17.50
560,160,F,28,20.00
570,160,F,38,25.00
580,160,F,48,25.00
590,160,F,59,27.50
600,160,F,71,29.99
610,160,F,83,30.00
620,160,F,96,32.50
630,160,F,110,35.00
640,160,F,124,35.01
650,160,F,139,37.50
660,160,F,154,37.51
670,160,F,170,39.99
680,160,F,186,40.00
690,160,F,202,40.00
700,160,F,219,42.51
710,160,F,237,44.99
720,160,F,254,42.50
730,160,F,273,47.47
740,160,F,291,45.03
750,160,F,310,47.51
760,160,F,329,47.49
770,160,F,349,50.02
780,160,F,369,49.99
790,160,F,389,50.02
800,160,F,411,54.99
810,160,F,432,52.51
820,160,F,454,54.98
830,160,F,476,55.02
840,160,F,498,55.00
850,160,F,520,54.99
860,160,F,543,57.49
870,160,F,565,55.00
880,160,F,588,57.51
890,160,F,611,57.51
900,160,F,634,57.48
910,160,F,658,60.01
920,160,F,682,60.01
930,160,F,706,59.99
940,160,F,731,62.50
950,160,F,757,65.00
960,160,F,788,77.50
970,160,F,814,64.99
980,160,F,840,65.03
990,160,F,866,64.97
1000,160,F,892,65.03
1010,160,F,919,67.49
1020,160,F,944,62.51
1030,160,F,967,57.48
1040,160,F,993,65.01
1050,160,F,1020,67.51
1060,160,F,1048,69.99
1070,160,F,1077,72.50
1080,160,F,1104,67.51
1090,160,F,1133,72.50
1100,160,F,1162,72.48
1110,160,F,1190,70.02
1120,160,F,1218,69.98
1130,160,F,1246,70.02
1140,160,F,1275,72.49
1150,160,F,1304,72.49
1160,160,F,1333,72.52
1170,160,F,1362,72.48
1180,160,F,1390,70.01
1190,160,F,1418,70.02
1200,160,F,1448,74.97
1210,160,F,1476,70.03
1220,160,F,1504,70.00
1230,160,F,1533,72.48
1240,160,F,1563,75.00
1250,160,F,1591,70.00
1260,160,F,1621,74.99
1270,160,F,1650,72.51
1280,160,F,1680,74.99
1290,160,F,1708,70.03
1300,160,F,1737,72.49
