t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,240,R,0,0.00
510,240,R,-3,-7.50
520,240,R,-12,-22.50
530,240,R,-23,-27.50
540,240,R,-40,-42.51
550,240,R,-60,-49.99
560,240,R,-83,-57.52
570,240,R,-111,-69.99
580,240,R,-142,-77.50
590,240,R,-177,-87.50
600,240,R,-216,-97.52
610,240,R,-258,-104.97
620,240,R,-302,-110.02
630,240,R,-350,-120.01
640,240,R,-402,-129.99
650,240,R,-458,-139.96
660,240,R,-517,-147.54
670,240,R,-579,-155.00
680,240,R,-644,-162.52
690,240,R,-712,-169.95
700,240,R,-781,-172.52
710,240,R,-851,-174.98
720,240,R,-922,-177.54
730,240,R,-996,-184.94
740,240,R,-1070,-185.07
750,240,R,-1148,-195.00
760,240,R,-1224,-189.96
770,240,R,-1300,-190.02
780,240,R,-1378,-195.00
790,240,R,-1458,-199.94
800,240,R,-1539,-202.48
810,240,R,-1620,-202.60
820,240,R,-1702,-204.96
830,240,R,-1786,-210.02
840,240,R,-1871,-212.46
850,240,R,-1958,-217.48
860,240,R,-2045,-217.52
870,240,R,-2130,-212.56
880,240,R,-2217,-217.46
890,240,R,-2306,-222.54
900,240,R,-2390,-209.96
910,240,R,-2474,-210.02
920,240,R,-2561,-217.48
930,240,R,-2647,-214.96
940,240,R,-2732,-212.56
950,240,R,-2818,-214.96
960,240,R,-2907,-222.54
970,240,R,-2996,-222.50
980,240,R,-3087,-227.45
990,240,R,-3178,-227.52
1000,240,R,-3269,-227.55
1010,240,R,-3358,-222.50
1020,240,R,-3448,-224.96
1030,240,R,-3540,-230.05
1040,240,R,-3633,-232.50
1050,240,R,-3717,-209.92
1060,240,R,-3807,-225.05
1070,240,R,-3897,-225.00
1080,240,R,-3986,-222.52
1090,240,R,-4076,-225.00
1100,240,R,-4167,-227.52
1110,240,R,-4259,-229.91
1120,240,R,-4352,-232.59
1130,240,R,-4444,-229.95
1140,240,R,-4533,-222.52
1150,240,R,-4625,-229.95
1160,240,R,-4716,-227.50
1170,240,R,-4804,-220.07
1180,240,R,-4892,-219.96
