t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,200,F,0,0.00
510,200,F,1,2.50
520,200,F,8,17.50
530,200,F,21,32.49
540,200,F,38,42.50
550,200,F,59,52.51
560,200,F,84,62.51
570,200,F,111,67.48
580,200,F,142,77.52
590,200,F,175,82.49
600,200,F,210,87.51
610,200,F,246,89.98
620,200,F,285,97.50
630,200,F,325,100.01
640,200,F,366,102.52
650,200,F,408,105.00
660,200,F,452,109.98
670,200,F,495,107.52
680,200,F,541,114.98
690,200,F,587,115.03
700,200,F,635,119.99
710,200,F,683,120.00
720,200,F,731,119.96
730,200,F,780,122.55
740,200,F,828,119.98
750,200,F,877,122.49
760,200,F,926,122.49
770,200,F,976,125.05
780,200,F,1025,122.48
790,200,F,1075,125.01
800,200,F,1125,125.00
810,200,F,1176,127.47
820,200,F,1228,130.00
830,200,F,1280,129.99
840,200,F,1331,127.50
850,200,F,1382,127.53
860,200,F,1432,125.01
870,200,F,1482,124.99
880,200,F,1533,127.53
890,200,F,1584,127.49
900,200,F,1637,132.41
910,200,F,1688,127.59
920,200,F,1742,135.00
930,200,F,1796,134.97
940,200,F,1851,137.50
950,200,F,1904,132.49
960,200,F,1959,137.51
970,200,F,2011,130.00
980,200,F,2064,132.51
990,200,F,2118,135.01
1000,200,F,2172,135.01
1010,200,F,2225,132.46
1020,200,F,2284,147.53
1030,200,F,2339,137.46
1040,200,F,2387,120.01
1050,200,F,2442,137.43
1060,200,F,2497,137.58
1070,200,F,2552,137.53
1080,200,F,2607,137.47
1090,200,F,2662,137.49
1100,200,F,2716,135.00
1110,200,F,2771,137.54
1120,200,F,2824,132.46
1130,200,F,2879,137.51
1140,200,F,2933,134.99
1150,200,F,2988,137.50
1160,200,F,3044,140.03
1170,200,F,3099,137.47
1180,200,F,3154,137.53
1190,200,F,3207,132.51
1200,200,F,3260,132.50
1210,200,F,3313,132.47
1220,200,F,3367,135.00
1230,200,F,3420,132.47
1240,200,F,3473,132.51
1250,200,F,3526,132.50
1260,200,F,3579,132.50
1270,200,F,3634,137.53
1280,200,F,3688,134.99
