t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,200,R,0,0.00
510,200,R,0,0.00
520,200,R,-9,-22.51
530,200,R,-23,-34.99
540,200,R,-34,-27.50
550,200,R,-53,-47.50
560,200,R,-79,-64.98
570,200,R,-107,-70.03
580,200,R,-139,-79.98
590,200,R,-173,-85.01
600,200,R,-210,-92.50
610,200,R,-249,-97.49
620,200,R,-291,-104.99
630,200,R,-335,-110.03
640,200,R,-379,-110.00
650,200,R,-423,-109.98
660,200,R,-469,-115.00
670,200,R,-514,-112.50
680,200,R,-560,-115.00
690,200,R,-607,-117.54
700,200,R,-655,-119.99
710,200,R,-704,-122.50
720,200,R,-753,-122.49
730,200,R,-804,-127.49
740,200,R,-856,-130.00
750,200,R,-908,-130.01
760,200,R,-961,-132.50
770,200,R,-1014,-132.47
780,200,R,-1068,-135.00
790,200,R,-1121,-132.53
800,200,R,-1173,-130.01
810,200,R,-1227,-134.99
820,200,R,-1281,-135.03
830,200,R,-1335,-135.00
840,200,R,-1389,-135.00
850,200,R,-1443,-134.96
860,200,R,-1497,-135.01
870,200,R,-1551,-134.99
880,200,R,-1606,-137.54
890,200,R,-1661,-137.49
900,200,R,-1715,-134.99
910,200,R,-1770,-137.53
920,200,R,-1824,-134.96
930,200,R,-1879,-137.51
940,200,R,-1934,-137.50
950,200,R,-1990,-140.01
960,200,R,-2045,-137.50
970,200,R,-2101,-140.01
980,200,R,-2157,-140.00
990,200,R,-2214,-142.47
1000,200,R,-2270,-140.00
1010,200,R,-2325,-137.50
1020,200,R,-2379,-135.00
1030,200,R,-2434,-137.53
1040,200,R,-2490,-140.00
1050,200,R,-2546,-139.87
1060,200,R,-2601,-137.62
1070,200,R,-2656,-137.46
1080,200,R,-2711,-137.49
1090,200,R,-2766,-137.50
1100,200,R,-2822,-140.03
1110,200,R,-2876,-135.01
1120,200,R,-2930,-134.99
1130,200,R,-2983,-132.50
1140,200,R,-3036,-132.53
1150,200,R,-3092,-139.99
1160,200,R,-3147,-137.49
1170,200,R,-3202,-137.50
1180,200,R,-3258,-140.01
