t_ms,pwm_cmd,dir,enc_count,rpm
0,240,F,0,0.00
10,240,F,2,5.00
20,240,F,9,17.50
30,240,F,20,27.49
40,240,F,33,32.51
50,240,F,49,40.00
60,240,F,68,47.50
70,240,F,91,57.49
80,240,F,117,64.99
90,240,F,145,70.01
100,240,F,177,80.02
110,240,F,213,89.98
120,240,F,251,95.02
130,240,F,292,102.49
140,240,F,337,112.50
150,240,F,383,115.00
160,240,F,432,122.50
170,240,F,484,129.99
180,240,F,538,135.01
190,240,F,596,144.97
200,240,F,656,150.01
210,240,F,718,154.98
220,240,F,783,162.53
230,240,F,850,167.50
240,240,F,919,172.47
250,240,F,990,177.50
260,240,F,1060,175.05
270,240,F,1132,179.93
280,240,F,1207,187.58
290,240,F,1288,202.50
300,240,F,1362,184.94
310,240,F,1437,187.54
320,240,F,1507,174.97
330,240,F,1585,195.02
340,240,F,1665,199.94
350,240,F,1744,197.56
360,240,F,1825,202.54
370,240,F,1906,202.48
380,240,F,1987,202.52
390,240,F,2070,207.48
400,240,F,2155,212.50
410,240,F,2238,207.46
420,240,F,2320,205.00
430,240,F,2400,200.06
440,240,F,2480,199.84
450,240,F,2559,197.60
460,240,F,2641,205.04
470,240,F,2724,207.52
480,240,F,2806,204.98
490,240,F,2888,204.96
500,240,F,2970,205.00
510,240,F,3054,210.06
520,240,F,3138,209.96
530,240,F,3224,215.04
540,240,F,3311,217.48
550,240,F,3397,214.96
560,240,F,3481,210.00
570,240,F,3566,212.56
580,240,F,3661,237.43
590,240,F,3745,210.06
600,240,F,3828,207.44
610,240,F,3907,197.52
620,240,F,3994,217.52
630,240,F,4079,212.46
640,240,F,4165,215.04
650,240,F,4253,219.85
660,240,F,4338,212.67
670,240,F,4426,219.91
680,240,F,4514,220.04
690,240,F,4602,219.98
700,240,F,4687,212.52
710,240,F,4772,212.48
720,240,F,4855,207.52
730,240,F,4936,202.48
740,240,F,5020,210.02
750,240,F,5105,212.46
760,240,F,5189,210.06
770,240,F,5272,207.46
780,240,F,5356,210.06
790,240,F,5442,214.96
800,240,F,5527,212.48
810,240,F,5614,217.54
820,240,F,5702,219.98
830,240,F,5790,220.04
840,240,F,5875,212.44
850,240,F,5961,215.06
860,240,F,6057,239.95
870,240,F,6142,212.50
880,240,F,6226,210.04
890,240,F,6306,199.94
900,240,F,6392,215.00
910,240,F,6478,215.00
920,240,F,6565,217.57
930,240,F,6653,219.96
940,240,F,6739,215.02
950,240,F,6827,220.00
960,240,F,6916,222.52
970,240,F,7004,219.96
980,240,F,7090,214.96
990,240,F,7174,210.04
1000,240,F,7258,210.04
1010,240,F,7340,205.00
1020,240,F,7424,209.98
1030,240,F,7509,212.48
1040,240,F,7594,212.54
1050,240,F,7677,207.44
1060,240,F,7762,212.54
1070,240,F,7847,212.48
1080,240,F,7933,215.02
1090,240,F,8021,220.02
1100,240,F,8109,220.00
1110,240,F,8197,219.96
1120,240,F,8282,212.48
1130,240,F,8368,215.02
1140,240,F,8464,240.05
1150,240,F,8549,212.48
1160,240,F,8634,212.48
1170,240,F,8714,200.04
1180,240,F,8801,217.46
1190,240,F,8887,215.02
1200,240,F,8974,217.48
1210,240,F,9062,219.98
1220,240,F,9148,215.04
1230,240,F,9237,222.52
1240,240,F,9326,222.50
1250,240,F,9414,219.93
1260,240,F,9500,215.04
1270,240,F,9584,210.02
1280,240,F,9667,207.46
1290,240,F,9749,204.96
1300,240,F,9834,212.52
1310,240,F,9919,212.52
1320,240,F,10004,212.50
1330,240,F,10088,210.02
1340,240,F,10173,212.42
1350,240,F,10258,212.54
1360,240,F,10344,215.02
1370,240,F,10431,217.52
1380,240,F,10520,222.43
1390,240,F,10608,220.07
1400,240,F,10693,212.50
1410,240,F,10779,214.94
1420,240,F,10875,240.07
1430,240,F,10960,212.50
1440,240,F,11045,212.52
1450,240,F,11125,200.00
1460,240,F,11212,217.48
1470,240,F,11298,214.96
1480,240,F,11386,220.04
1490,240,F,11473,217.46
1500,240,F,11560,217.57
1510,240,F,11648,219.98
1520,240,F,11738,225.00
1530,240,F,11826,220.00
1540,240,F,11912,214.83
1550,240,F,11996,210.11
1560,240,F,12078,205.00
1570,240,F,12161,207.50
1580,240,F,12245,210.02
1590,240,F,12331,214.98
1600,240,F,12416,212.59
1610,240,F,12500,210.00
1620,240,F,12585,212.33
1630,240,F,12670,212.67
1640,240,F,12756,215.00
1650,240,F,12843,217.48
1660,240,F,12933,225.00
1670,240,F,13020,217.50
1680,240,F,13106,214.98
1690,240,F,13193,217.50
1700,240,F,13287,235.02
1710,240,F,13372,212.50
1720,240,F,13458,214.98
1730,240,F,13538,199.98
1740,240,F,13625,217.50
1750,240,F,13711,215.04
1760,240,F,13799,219.96
1770,240,F,13886,217.54
1780,240,F,13973,217.50
1790,240,F,14061,219.96
1800,240,F,14151,224.98
1810,240,F,14238,217.57
1820,240,F,14324,214.96
1830,240,F,14408,210.02
1840,240,F,14491,207.50
1850,240,F,14573,204.96
1860,240,F,14658,212.54
1870,240,F,14744,215.04
1880,240,F,14828,209.94
1890,240,F,14912,210.00
1900,240,F,14997,212.56
1910,240,F,15083,214.94
1920,240,F,15169,215.00
1930,240,F,15257,220.04
1940,240,F,15346,222.52
1950,240,F,15433,217.50
1960,240,F,15519,214.96
1970,240,F,15607,220.04
1980,240,F,15700,232.48
1990,240,F,15785,212.39
2000,240,F,15870,212.61
2010,240,F,15951,202.50
2020,240,F,16038,217.46
2030,240,F,16125,217.52
2040,240,F,16213,219.98
2050,240,F,16300,217.50
2060,240,F,16387,217.54
2070,240,F,16476,222.52
2080,240,F,16564,220.00
2090,240,F,16652,219.98
2100,240,F,16738,214.98
2110,240,F,16822,210.04
2120,240,F,16905,207.46
2130,240,F,16987,205.02
2140,240,F,17072,212.50
2150,240,F,17158,214.98
2160,240,F,17242,209.98
2170,240,F,17326,210.06
2180,240,F,17412,214.96
