t_ms,pwm_cmd,dir,enc_count,rpm
0,240,R,0,0.00
10,240,R,-3,-7.50
20,240,R,-10,-17.50
30,240,R,-21,-27.50
40,240,R,-36,-37.50
50,240,R,-54,-44.99
60,240,R,-75,-52.49
70,240,R,-100,-62.53
80,240,R,-128,-69.97
90,240,R,-160,-80.01
100,240,R,-194,-85.01
110,240,R,-233,-97.50
120,240,R,-274,-102.50
130,240,R,-319,-112.52
140,240,R,-367,-120.00
150,240,R,-419,-129.96
160,240,R,-474,-137.54
170,240,R,-530,-139.99
180,240,R,-590,-149.97
190,240,R,-652,-155.02
200,240,R,-716,-160.02
210,240,R,-784,-169.98
220,240,R,-853,-172.47
230,240,R,-925,-180.07
240,240,R,-1000,-187.50
250,240,R,-1076,-190.00
260,240,R,-1151,-187.44
270,240,R,-1227,-190.00
280,240,R,-1307,-200.00
290,240,R,-1386,-197.54
300,240,R,-1465,-197.48
310,240,R,-1547,-204.98
320,240,R,-1628,-202.54
330,240,R,-1709,-202.46
340,240,R,-1791,-205.06
350,240,R,-1874,-207.44
360,240,R,-1960,-215.06
370,240,R,-2046,-214.94
380,240,R,-2136,-224.96
390,240,R,-2225,-222.61
400,240,R,-2313,-220.00
410,240,R,-2401,-220.00
420,240,R,-2489,-219.96
430,240,R,-2577,-219.96
440,240,R,-2665,-220.02
450,240,R,-2755,-224.91
460,240,R,-2845,-225.09
470,240,R,-2934,-222.54
480,240,R,-3022,-220.02
490,240,R,-3113,-227.48
500,240,R,-3204,-227.45
510,240,R,-3296,-230.05
520,240,R,-3388,-230.02
530,240,R,-3481,-232.38
540,240,R,-3570,-222.61
550,240,R,-3662,-229.98
560,240,R,-3752,-225.02
570,240,R,-3842,-225.00
580,240,R,-3932,-224.96
590,240,R,-4022,-225.00
600,240,R,-4111,-222.50
610,240,R,-4199,-220.04
620,240,R,-4289,-224.98
630,240,R,-4381,-230.02
640,240,R,-4474,-232.43
650,240,R,-4567,-232.50
660,240,R,-4661,-235.00
670,240,R,-4752,-227.57
680,240,R,-4844,-229.98
690,240,R,-4935,-227.41
700,240,R,-5026,-227.57
710,240,R,-5117,-227.55
720,240,R,-5210,-232.43
730,240,R,-5302,-230.00
740,240,R,-5392,-225.05
750,240,R,-5483,-227.48
760,240,R,-5575,-230.00
770,240,R,-5668,-232.50
780,240,R,-5762,-235.02
790,240,R,-5856,-234.93
800,240,R,-5947,-227.59
810,240,R,-6038,-227.45
820,240,R,-6130,-230.05
830,240,R,-6221,-227.50
840,240,R,-6312,-227.45
850,240,R,-6403,-227.48
860,240,R,-6492,-222.50
870,240,R,-6580,-220.07
880,240,R,-6670,-225.00
890,240,R,-6762,-229.98
900,240,R,-6855,-232.48
910,240,R,-6949,-235.05
920,240,R,-7043,-234.93
930,240,R,-7135,-230.07
940,240,R,-7226,-227.48
950,240,R,-7318,-230.02
960,240,R,-7409,-227.43
970,240,R,-7500,-227.55
980,240,R,-7592,-229.95
990,240,R,-7685,-232.50
1000,240,R,-7776,-227.55
1010,240,R,-7866,-224.96
1020,240,R,-7959,-232.57
1030,240,R,-8051,-230.00
1040,240,R,-8145,-235.00
1050,240,R,-8239,-235.00
1060,240,R,-8331,-229.98
1070,240,R,-8422,-227.48
1080,240,R,-8516,-235.02
1090,240,R,-8606,-224.91
1100,240,R,-8697,-227.59
1110,240,R,-8787,-224.93
1120,240,R,-8877,-225.02
1130,240,R,-8966,-222.48
1140,240,R,-9055,-222.59
