t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,160,R,0,0.00
510,160,R,-2,-5.00
520,160,R,-5,-7.50
530,160,R,-10,-12.51
540,160,R,-17,-17.50
550,160,R,-26,-22.49
560,160,R,-35,-22.51
570,160,R,-46,-27.49
580,160,R,-57,-27.51
590,160,R,-70,-32.50
600,160,R,-82,-30.00
610,160,R,-95,-32.49
620,160,R,-109,-35.00
630,160,R,-124,-37.50
640,160,R,-140,-40.01
650,160,R,-155,-37.49
660,160,R,-171,-40.01
670,160,R,-188,-42.49
680,160,R,-204,-40.00
690,160,R,-221,-42.50
700,160,R,-239,-45.00
710,160,R,-257,-45.01
720,160,R,-274,-42.49
730,160,R,-293,-47.50
740,160,R,-312,-47.50
750,160,R,-331,-47.50
760,160,R,-351,-50.00
770,160,R,-370,-47.50
780,160,R,-390,-49.99
790,160,R,-410,-50.00
800,160,R,-431,-52.50
810,160,R,-452,-52.49
820,160,R,-473,-52.51
830,160,R,-495,-55.02
840,160,R,-516,-52.48
850,160,R,-538,-55.01
860,160,R,-560,-54.99
870,160,R,-581,-52.50
880,160,R,-603,-55.01
890,160,R,-625,-54.99
900,160,R,-647,-55.00
910,160,R,-670,-57.50
920,160,R,-691,-52.51
930,160,R,-714,-57.49
940,160,R,-736,-55.02
950,160,R,-759,-57.49
960,160,R,-782,-57.51
970,160,R,-804,-54.99
980,160,R,-827,-57.49
990,160,R,-851,-60.00
1000,160,R,-873,-55.00
1010,160,R,-897,-60.02
1020,160,R,-920,-57.50
1030,160,R,-944,-59.98
1040,160,R,-968,-60.01
1050,160,R,-992,-59.99
1060,160,R,-1016,-60.02
1070,160,R,-1040,-60.00
1080,160,R,-1065,-62.49
1090,160,R,-1089,-59.99
1100,160,R,-1114,-62.52
1110,160,R,-1138,-59.98
1120,160,R,-1163,-62.51
1130,160,R,-1188,-62.51
1140,160,R,-1212,-60.00
1150,160,R,-1237,-62.50
1160,160,R,-1262,-62.49
1170,160,R,-1288,-65.00
1180,160,R,-1314,-64.98
1190,160,R,-1341,-67.53
1200,160,R,-1368,-67.50
