t_ms,pwm_cmd,dir,enc_count,rpm
0,240,F,0,0.00
10,240,F,2,5.00
20,240,F,10,20.00
30,240,F,22,30.01
40,240,F,38,40.00
50,240,F,60,55.00
60,240,F,86,64.99
70,240,F,116,75.01
80,240,F,150,84.99
90,240,F,188,94.98
100,240,F,230,105.01
110,240,F,276,115.03
120,240,F,327,127.49
130,240,F,380,132.49
140,240,F,436,139.97
150,240,F,495,147.51
160,240,F,555,150.03
170,240,F,618,157.42
180,240,F,683,162.53
190,240,F,757,185.04
200,240,F,825,170.00
210,240,F,892,167.48
220,240,F,956,160.00
230,240,F,1031,187.43
240,240,F,1105,185.13
250,240,F,1180,187.50
260,240,F,1256,190.00
270,240,F,1335,197.44
280,240,F,1414,197.50
290,240,F,1493,197.46
300,240,F,1574,202.54
310,240,F,1657,207.56
320,240,F,1738,202.46
330,240,F,1819,202.46
340,240,F,1899,200.00
350,240,F,1977,195.04
360,240,F,2058,202.48
370,240,F,2140,205.00
380,240,F,2224,209.98
390,240,F,2308,210.08
400,240,F,2391,207.50
410,240,F,2475,209.96
420,240,F,2559,210.04
430,240,F,2644,212.46
440,240,F,2731,217.48
450,240,F,2819,220.04
460,240,F,2907,220.00
470,240,F,2993,214.94
480,240,F,3081,220.07
490,240,F,3175,234.98
500,240,F,3261,214.98
510,240,F,3340,197.56
520,240,F,3428,219.96
530,240,F,3516,219.98
540,240,F,3603,217.50
550,240,F,3691,220.02
560,240,F,3779,220.02
570,240,F,3867,219.91
580,240,F,3955,220.11
590,240,F,4046,227.45
600,240,F,4134,219.98
610,240,F,4220,215.02
620,240,F,4305,212.48
630,240,F,4389,210.02
640,240,F,4474,212.54
650,240,F,4560,214.94
660,240,F,4649,222.50
670,240,F,4735,215.02
680,240,F,4822,217.48
690,240,F,4909,217.57
700,240,F,4997,219.98
710,240,F,5084,217.50
720,240,F,5174,225.02
730,240,F,5264,225.00
740,240,F,5354,224.98
750,240,F,5443,222.43
760,240,F,5538,237.60
770,240,F,5627,222.46
780,240,F,5711,210.00
790,240,F,5795,209.98
800,240,F,5884,222.50
810,240,F,5973,222.50
820,240,F,6061,220.02
830,240,F,6151,225.02
840,240,F,6239,219.93
850,240,F,6329,225.05
860,240,F,6419,225.05
870,240,F,6509,224.98
880,240,F,6596,217.48
890,240,F,6682,214.96
900,240,F,6767,212.59
910,240,F,6852,212.50
920,240,F,6939,217.48
930,240,F,7027,220.00
940,240,F,7115,219.96
950,240,F,7202,217.57
960,240,F,7289,217.43
970,240,F,7377,220.07
980,240,F,7465,219.98
990,240,F,7555,224.82
1000,240,F,7646,227.70
1010,240,F,7735,222.43
1020,240,F,7824,222.52
1030,240,F,7919,237.48
1040,240,F,8009,225.07
1050,240,F,8095,214.98
1060,240,F,8177,205.02
1070,240,F,8267,225.00
1080,240,F,8356,222.50
1090,240,F,8445,222.41
1100,240,F,8534,222.54
1110,240,F,8623,222.48
1120,240,F,8712,222.50
1130,240,F,8803,227.48
1140,240,F,8892,222.57
1150,240,F,8981,222.43
1160,240,F,9067,215.09
1170,240,F,9153,214.98
1180,240,F,9237,210.00
1190,240,F,9324,217.48
1200,240,F,9412,220.04
1210,240,F,9500,219.96
1220,240,F,9587,217.52
1230,240,F,9674,217.52
1240,240,F,9762,219.91
1250,240,F,9850,220.04
1260,240,F,9939,222.50
1270,240,F,10030,227.55
1280,240,F,10121,227.34
1290,240,F,10208,217.63
1300,240,F,10301,232.52
1310,240,F,10395,234.93
1320,240,F,10481,214.98
1330,240,F,10562,202.50
1340,240,F,10653,227.59
1350,240,F,10741,219.98
1360,240,F,10830,222.52
1370,240,F,10919,222.48
1380,240,F,11008,222.50
1390,240,F,11097,222.48
1400,240,F,11187,225.00
1410,240,F,11277,224.98
1420,240,F,11366,222.57
1430,240,F,11453,217.48
1440,240,F,11539,214.89
1450,240,F,11623,210.11
1460,240,F,11709,214.83
1470,240,F,11797,220.15
1480,240,F,11885,220.04
1490,240,F,11972,217.48
1500,240,F,12059,217.46
1510,240,F,12147,220.00
1520,240,F,12235,219.98
1530,240,F,12324,222.59
1540,240,F,12415,227.48
1550,240,F,12505,224.98
1560,240,F,12594,222.34
1570,240,F,12685,227.68
1580,240,F,12779,234.98
1590,240,F,12867,220.02
1600,240,F,12947,199.98
1610,240,F,13037,225.02
1620,240,F,13126,222.46
1630,240,F,13215,222.57
1640,240,F,13304,222.48
1650,240,F,13393,222.52
1660,240,F,13482,222.43
1670,240,F,13572,225.00
1680,240,F,13663,227.50
1690,240,F,13751,220.07
1700,240,F,13839,219.89
1710,240,F,13924,212.56
1720,240,F,14008,210.00
1730,240,F,14094,215.02
1740,240,F,14182,220.00
1750,240,F,14270,219.96
1760,240,F,14357,217.57
1770,240,F,14444,217.46
1780,240,F,14532,220.04
1790,240,F,14620,219.96
1800,240,F,14709,222.54
1810,240,F,14800,227.43
1820,240,F,14890,225.07
1830,240,F,14979,222.43
1840,240,F,15069,225.00
1850,240,F,15165,240.07
1860,240,F,15253,219.93
1870,240,F,15336,207.50
1880,240,F,15423,217.50
1890,240,F,15513,225.02
1900,240,F,15601,219.96
1910,240,F,15690,222.59
1920,240,F,15779,222.48
1930,240,F,15868,222.48
1940,240,F,15957,222.50
1950,240,F,16049,230.05
1960,240,F,16138,222.48
1970,240,F,16225,217.46
1980,240,F,16311,215.00
1990,240,F,16395,210.00
2000,240,F,16481,214.98
2010,240,F,16568,217.54
2020,240,F,16657,222.54
2030,240,F,16744,217.43
2040,240,F,16832,220.04
2050,240,F,16919,217.48
2060,240,F,17008,222.48
2070,240,F,17096,220.02
2080,240,F,17187,227.34
2090,240,F,17277,225.20
2100,240,F,17366,222.41
2110,240,F,17456,225.09
2120,240,F,17552,239.95
2130,240,F,17640,220.04
2140,240,F,17723,207.44
2150,240,F,17809,215.00
2160,240,F,17899,225.07
2170,240,F,17987,220.00
2180,240,F,18076,222.43
