t_ms,pwm_cmd,dir,enc_count,rpm
0,240,R,0,0.00
10,240,R,-3,-7.50
20,240,R,-13,-25.00
30,240,R,-29,-39.99
40,240,R,-52,-57.51
50,240,R,-80,-69.97
60,240,R,-114,-85.02
70,240,R,-153,-97.51
80,240,R,-196,-107.51
90,240,R,-244,-120.00
100,240,R,-295,-127.46
110,240,R,-349,-135.00
120,240,R,-406,-142.53
130,240,R,-467,-152.47
140,240,R,-531,-160.05
150,240,R,-596,-162.48
160,240,R,-664,-170.00
170,240,R,-734,-174.95
180,240,R,-806,-180.00
190,240,R,-880,-185.07
200,240,R,-955,-187.44
210,240,R,-1031,-190.02
220,240,R,-1109,-194.98
230,240,R,-1189,-200.04
240,240,R,-1272,-207.52
250,240,R,-1356,-209.98
260,240,R,-1440,-209.98
270,240,R,-1523,-207.48
280,240,R,-1610,-217.41
290,240,R,-1703,-232.59
300,240,R,-1787,-210.00
310,240,R,-1870,-207.52
320,240,R,-1953,-207.52
330,240,R,-2039,-215.00
340,240,R,-2122,-207.48
350,240,R,-2207,-212.50
360,240,R,-2294,-217.48
370,240,R,-2384,-225.07
380,240,R,-2475,-227.43
390,240,R,-2567,-230.07
400,240,R,-2658,-227.50
410,240,R,-2749,-227.45
420,240,R,-2839,-224.98
430,240,R,-2929,-225.05
440,240,R,-3019,-225.00
450,240,R,-3109,-225.02
460,240,R,-3200,-227.45
470,240,R,-3291,-227.55
480,240,R,-3380,-222.50
490,240,R,-3471,-227.43
500,240,R,-3563,-230.07
510,240,R,-3656,-232.45
520,240,R,-3750,-235.05
530,240,R,-3843,-232.43
540,240,R,-3934,-227.52
550,240,R,-4031,-242.55
560,240,R,-4128,-242.45
570,240,R,-4219,-227.55
580,240,R,-4304,-212.42
590,240,R,-4395,-227.59
600,240,R,-4483,-220.00
610,240,R,-4571,-219.91
620,240,R,-4661,-225.09
630,240,R,-4753,-229.98
640,240,R,-4847,-235.02
650,240,R,-4941,-234.91
660,240,R,-5036,-237.60
670,240,R,-5128,-229.95
680,240,R,-5221,-232.50
690,240,R,-5312,-227.50
700,240,R,-5405,-232.50
710,240,R,-5496,-227.48
720,240,R,-5589,-232.50
730,240,R,-5681,-229.91
740,240,R,-5772,-227.66
750,240,R,-5863,-227.43
760,240,R,-5956,-232.55
770,240,R,-6050,-234.95
780,240,R,-6144,-234.98
790,240,R,-6239,-237.55
800,240,R,-6331,-229.98
810,240,R,-6428,-242.50
820,240,R,-6525,-242.55
830,240,R,-6617,-230.02
840,240,R,-6707,-224.93
850,240,R,-6795,-220.00
860,240,R,-6883,-220.04
870,240,R,-6971,-220.00
880,240,R,-7062,-227.50
890,240,R,-7154,-229.95
900,240,R,-7249,-237.50
910,240,R,-7344,-237.50
920,240,R,-7438,-235.00
930,240,R,-7531,-232.57
940,240,R,-7624,-232.50
950,240,R,-7716,-229.91
960,240,R,-7809,-232.52
970,240,R,-7900,-227.50
980,240,R,-7993,-232.52
990,240,R,-8086,-232.52
1000,240,R,-8177,-227.48
1010,240,R,-8269,-229.93
1020,240,R,-8362,-232.59
1030,240,R,-8456,-234.95
1040,240,R,-8551,-237.57
1050,240,R,-8645,-234.93
1060,240,R,-8737,-230.00
1070,240,R,-8834,-242.52
1080,240,R,-8932,-245.02
1090,240,R,-9024,-230.00
1100,240,R,-9112,-220.00
1110,240,R,-9201,-222.50
1120,240,R,-9290,-222.46
1130,240,R,-9378,-220.02
1140,240,R,-9469,-227.48
