t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,240,F,0,0.00
510,240,F,0,0.00
520,240,F,4,10.00
530,240,F,12,20.00
540,240,F,22,25.00
550,240,F,34,30.00
560,240,F,49,37.49
570,240,F,66,42.50
580,240,F,85,47.51
590,240,F,107,54.98
600,240,F,132,62.52
610,240,F,159,67.48
620,240,F,187,70.01
630,240,F,219,80.02
640,240,F,252,82.48
650,240,F,289,92.52
660,240,F,327,95.00
670,240,F,367,100.00
680,240,F,409,105.00
690,240,F,453,109.99
700,240,F,499,115.01
710,240,F,548,122.48
720,240,F,597,122.50
730,240,F,649,130.00
740,240,F,702,132.54
750,240,F,758,139.97
760,240,F,815,142.53
770,240,F,875,149.99
780,240,F,934,147.49
790,240,F,994,150.01
800,240,F,1055,152.41
810,240,F,1115,150.09
820,240,F,1176,152.47
830,240,F,1238,155.03
840,240,F,1302,159.98
850,240,F,1368,165.03
860,240,F,1436,169.97
870,240,F,1504,170.03
880,240,F,1572,170.00
890,240,F,1641,172.50
900,240,F,1711,174.93
910,240,F,1782,177.55
920,240,F,1853,177.48
930,240,F,1925,180.02
940,240,F,1998,182.48
950,240,F,2073,187.50
960,240,F,2148,187.54
970,240,F,2222,185.00
980,240,F,2303,202.46
990,240,F,2378,187.50
1000,240,F,2448,174.98
1010,240,F,2517,172.52
1020,240,F,2592,187.54
1030,240,F,2669,192.46
1040,240,F,2746,192.46
1050,240,F,2821,187.58
1060,240,F,2898,192.50
1070,240,F,2976,194.94
1080,240,F,3053,192.56
1090,240,F,3130,192.48
1100,240,F,3208,194.96
1110,240,F,3288,199.98
1120,240,F,3365,192.58
1130,240,F,3440,187.50
1140,240,F,3515,187.44
1150,240,F,3590,187.50
1160,240,F,3664,185.00
1170,240,F,3740,190.06
1180,240,F,3819,197.50
1190,240,F,3896,192.44
1200,240,F,3974,195.02
1210,240,F,4051,192.50
1220,240,F,4129,195.04
1230,240,F,4207,194.84
1240,240,F,4285,195.08
1250,240,F,4365,200.02
1260,240,F,4445,200.04
1270,240,F,4525,199.94
1280,240,F,4604,197.52
